Artista,Nacionalidad,Oyentes Mensuales Spotify,Lugar con más oyentes,Oyentes del país n°1
Bad Bunny,Puerto Rico,81.518.767,"1. Ciudad de México, México
2. Santiago, Chile",4.931.148
Cris MJ,Chile,15.738.231,"Santiago, Chile",1.878.648
Peso Pluma,México,48.326.965,"Ciudad de México, México",5.093.568
Radiohead,Inglaterra,23.788.462,"1. Ciudad de México, México
2. Santiago, Chile
3. Londres, Inglaterra",587.080
Foo Fighters,Estados Unidos,20.663.086,"1. Londres, Inglaterra
2. Sao Paulo, Brasil",504.685
Tina Turner,Estados Unidos,12.206.217,"1. Londres, Inglaterra
2. Sydney, Australia
3. Amsterdam, Países Bajos
4. Sao Paulo, Brasil
5. Santiago, Chile",249.729
Pearl Jam,Estados Unidos,13.292.722,"1. Sao Paulo, Brasil
2. Santiago, Chile
3. Ciudad de México",471.258
Sinéad O'Connor,Irlanda,9.208.047,"1. Dublin, Irlanda
2. Londres, Inglaterra
3. Santiago de Chile",266.881
Quevedo,España,38.182.790,"1. Madrid, España
2. Ciudad de México
3. Santiago, Chile",2.351.408
Bad Gyal,España,14.906.762,"1. Santiago, Chile
2. Madrid, España",1.014.326
Rauw Alejandro,Puerto Rico,48.081.085,"1. Ciudad de México, México
2. Madrid, España
3. Santiago, Chile",3.226.940
"Rage Against 
The Machine",Estados Unidos,5.581.525,"1. Santiago, Chile
2. Sao Paulo, Brasil
2. Londres, Inglaterra","174,621"
Faith No More,Estados Unidos,3.854.179,"1. Santiago, Chile
2. Sao Paulo, Brasil
",159.322
Coldplay,Inglaterra,66.102.332,"1. Jakarta, Indonesia
2. Ciudad de México
3. Londres, Inglaterra
4. Sao Paulo, Brasil
5. Santiago, Chile",1.497.366
Ed Sheeran,Inglaterra,77.666.074,"1. London, Inglaterra
2. Jakarta, Indonesia
3. Sydney, Asutralia
4. Ciudad de México, México",1.594.345
Soundgarden,Estados Unidos,6.962.030,"1. Santiago, Chile
2. Los Ángeles, EEUU
3. Sao Paulo, Brasil",126.606
Anthrax,Estados Unidos,1.456.968,"1. Santiago, Chile
2. Sao Paulo, Brasil
3. Ciudad de México, México",36.096
Slayer,Estados Unidos,4.960.130,"1. Santiago , Chile
2. Ciudad de México, México
3. Sao Paulo, Brasil",106.542
"Red Hot Chili
Peppers",Estados Unidos,30.254.127,"1. Sao Paulo, Brasil
2. Londres, Inglaterra
3. Ciudad de México, México
4. Santiago, Chile",501.667
Queen,Inglaterra,47.273.830,"1. Ciudad de México, México
2. Santiago, Chile
3. Londres, Inglaterra",1.166.581
The Weekend,Estados Unidos,111.549.389,"1. Ciudad de México, México",2.190.128
Taylor Swift,Estados Unidos,99.127.106,"1. Jakarta, Indonesia
2. Londres, Inglaterra
3. Ciudad Quezon, Filipinas
4. Los Ángeles, EEUU
5. Ciudad de México, México",2.793.803
Dua Lipa,Albania,77.734.827,"1. Ciudad de México, México
2. Londres, Inglaterra
3. Sao Paulo, Brasil
4. Santiago, Chile",1.579.279
Rihanna,Estados Unidos,74.435.168,"1. Londres, Inglaterra
2. Ciudad de México, México
3. Sao Paulo, Brasil",1.535.445
Drake,Estados Unidos,75.824.107,Top 5 sin latinos,n.d
David Guetta,Estados Unidos,72.800.956,"1. Londres, Inglaterra
2. Ciudad de México, México",1.380.229
Justin Bieber,Estados Unidos,72.147.534,"1. Jakarta, Indonesia
2. Londres, Inglaterra
3. Sao Paulo, Brasil",1.518.536
Travis Scott,Estados Unidos,75.000.624,"1. L.A, EEUU
2. Londres, Inglaterra
3. Nueva York, EEUU
4. Ciudad de México, México",1.104.174
Billie Eilish,Estados Unidos,72.237.588,"1. Londres, Inglaterra
2. Jakarta, Indonesia
3. Ciudad de México, México",1.152.781
Myke Towers,Puerto Rico,47.194.768,"1. Ciudad de México, México
2. Madrid, España
3. Santiago, Chile",2.740.935
Miley Cyrus,Estados Unidos,68.322.675,"1. Jakarta, Indonesia
2. Ciudad de México, México",1.669.298
Ariana ,Estados Unidos,66.338.649,"1. Jakarta, Indonesia
2. Ciudad de México, México",1.642.023
Bizarrap,Argentina,44.507.594,"1.  Ciudad de México, México
2. Madrid, España
3. Buenos Aires, Argentina
4. Santiago, Chile
5. Lima, Perú",2.911.181
,,,,
Fuente: números de Spotify,,,,
