,Canción,Latinoamericana,Urbana
1,ella baila sola,Sí,Sí
2,la bebe remix,Sí,Sí
3,un x100to,Sí,Sí
4,tqg,Sí,Sí
5,yandel 150,Sí,Sí
6,bzrp x shakira,Sí,Sí
7,la bachata,Sí,Sí
8,hey mor,Sí,Sí
9,classy 101,Sí,Sí
10,prc,Sí,Sí
11,lala,Sí,Sí
12,el azul,Sí,Sí
13,amg,Sí,Sí
14,feliz cumpleaños ferxxo,Sí,Sí
15,flowers,No,No
16,que vuelvas,Sí,No
17,la jumpa,Sí,Sí
18,quevedo x bzrp,Sí,Sí
19,fin de semana,Sí,No
20,nosso quadro,Sí,Sí
21,me porto bonito,Sí,Sí
22,leao,Sí,No
23,bebe dame,Sí,Sí
24,chorrito pa las animas,Sí,Sí
25,where she goes,Sí,Sí
26,lady gaga,Sí,Sí
27,ojitos lindos,Sí,Sí
28,normal,Sí,Sí
29,rara vez,Sí,Sí
30,as it was,No,No
31,primera cita,Sí,No
32,por las noches,Sí,Sí
33,efecto,Sí,Sí
34,ch y la pizza,Sí,Sí
35,el gordo trae el mando,Sí,No
36,fragil,Sí,Sí
37,qlona,Sí,Sí
38,columbia,No,Sí
39,punto g,No,Sí
40,la inocente ,Sí,Sí
41,tqm,Sí,Sí
42,peso pluma x bzrp,Sí,Sí
43,x si volvemos,Sí,Sí
44,provenza,Sí,Sí
45,erro gostoso ,Sí,No
46,es un secreto,Sí,Sí
47,un finde,Sí,Sí
48,bombonzinho,Sí,No
49,amargura,Sí,Sí
50,beso,Sí,Sí
